0,art_Q2,art_Q5,blue rationality,blue side,first story,gender,red rationality,red side,s0_Q0_irr,s0_Q0_p_a,s0_Q0_p_a_and_b,s0_Q0_p_b,s0_Q2,s0_Q3_irr,s0_Q3_p_a,s0_Q3_p_a_and_c,s0_Q3_p_a_and_d,s0_Q3_p_c,s0_Q3_p_d,s0_Q5,s0_Q6_p_a,s0_Q6_p_a_and_b,s0_Q6_p_a_and_c,s0_Q6_p_a_and_d,s0_Q6_p_b,s0_Q6_p_b_and_c,s0_Q6_p_b_and_d,s0_Q6_p_c,s0_Q6_p_c_and_d,s0_Q6_p_d,s0_Q8_chosen_,s0_choice_equal2,s0_consistent_choice,s0_final_choice,s0_first_choice,s0_irrational_Q1_irr,s0_irrational_Q1_p_c,s0_irrational_Q1_p_c_and_d,s0_irrational_Q1_p_d,s0_irrational_Q4_irr,s0_irrational_Q4_p_b,s0_irrational_Q4_p_b_and_c,s0_irrational_Q4_p_b_and_d,s0_irrational_Q4_p_c,s0_irrational_Q4_p_d,s0_irrational_Q7_p_a,s0_irrational_Q7_p_a_and_b,s0_irrational_Q7_p_a_and_c,s0_irrational_Q7_p_a_and_d,s0_irrational_Q7_p_b,s0_irrational_Q7_p_b_and_c,s0_irrational_Q7_p_b_and_d,s0_irrational_Q7_p_c,s0_irrational_Q7_p_c_and_d,s0_irrational_Q7_p_d,s0_irrational_first_choice,s0_rational_Q1_irr,s0_rational_Q1_p_c,s0_rational_Q1_p_c_and_d,s0_rational_Q1_p_d,s0_rational_Q4_irr,s0_rational_Q4_p_b,s0_rational_Q4_p_b_and_c,s0_rational_Q4_p_b_and_d,s0_rational_Q4_p_c,s0_rational_Q4_p_d,s0_rational_Q7_p_a,s0_rational_Q7_p_a_and_b,s0_rational_Q7_p_a_and_c,s0_rational_Q7_p_a_and_d,s0_rational_Q7_p_b,s0_rational_Q7_p_b_and_c,s0_rational_Q7_p_b_and_d,s0_rational_Q7_p_c,s0_rational_Q7_p_c_and_d,s0_rational_Q7_p_d,s0_rational_first_choice,s1_Q0_irr,s1_Q0_p_a,s1_Q0_p_a_and_b,s1_Q0_p_b,s1_Q2,s1_Q3_irr,s1_Q3_p_a,s1_Q3_p_a_and_c,s1_Q3_p_a_and_d,s1_Q3_p_c,s1_Q3_p_d,s1_Q5,s1_Q6_p_a,s1_Q6_p_a_and_b,s1_Q6_p_a_and_c,s1_Q6_p_a_and_d,s1_Q6_p_b,s1_Q6_p_b_and_c,s1_Q6_p_b_and_d,s1_Q6_p_c,s1_Q6_p_c_and_d,s1_Q6_p_d,s1_Q8_chosen_,s1_choice_equal2,s1_consistent_choice,s1_final_choice,s1_first_choice,s1_irrational_Q1_irr,s1_irrational_Q1_p_c,s1_irrational_Q1_p_c_and_d,s1_irrational_Q1_p_d,s1_irrational_Q4_irr,s1_irrational_Q4_p_b,s1_irrational_Q4_p_b_and_c,s1_irrational_Q4_p_b_and_d,s1_irrational_Q4_p_c,s1_irrational_Q4_p_d,s1_irrational_Q7_p_a,s1_irrational_Q7_p_a_and_b,s1_irrational_Q7_p_a_and_c,s1_irrational_Q7_p_a_and_d,s1_irrational_Q7_p_b,s1_irrational_Q7_p_b_and_c,s1_irrational_Q7_p_b_and_d,s1_irrational_Q7_p_c,s1_irrational_Q7_p_c_and_d,s1_irrational_Q7_p_d,s1_irrational_first_choice,s1_rational_Q1_irr,s1_rational_Q1_p_c,s1_rational_Q1_p_c_and_d,s1_rational_Q1_p_d,s1_rational_Q4_irr,s1_rational_Q4_p_b,s1_rational_Q4_p_b_and_c,s1_rational_Q4_p_b_and_d,s1_rational_Q4_p_c,s1_rational_Q4_p_d,s1_rational_Q7_p_a,s1_rational_Q7_p_a_and_b,s1_rational_Q7_p_a_and_c,s1_rational_Q7_p_a_and_d,s1_rational_Q7_p_b,s1_rational_Q7_p_b_and_c,s1_rational_Q7_p_b_and_d,s1_rational_Q7_p_c,s1_rational_Q7_p_c_and_d,s1_rational_Q7_p_d,s1_rational_first_choice,suspect_Q2,suspect_Q5,user id
6,,,irrational,left,suspect,f,rational,right,0.0,0.3,0.3,0.3,irrational,0.4,0.0,0.4,,0.6,,rational,10.0,9.0,7.0,5.0,8.0,3.0,2.0,6.0,1.0,4.0,d,irrational,0,d,c_and_d,0.7,0.2,0.9,0.2,0.8,0.3,,0.9,,0.1,8,2,4,5,3,6,9,1,7,0,d,-0.19999999999999998,0.9,0.1,0.3,0.0,0.4,,0.2,,0.2,8,3,7,1,0,6,5,9,4,2,b,0.39999999999999997,0.2,0.6,0.2,rational,0.39999999999999997,0.2,,0.6,,0.2,rational,8.0,1.0,,3.0,5.0,2.0,4.0,7.0,6.0,9.0,a_and_b,irrational,1,a_and_b,a_and_b,0.7,0.3,0.9,0.2,0.39999999999999997,0.3,0.6,,0.2,,4,0,3,9,8,2,5,7,6,1,a_and_b,0.0,0.9,0.2,0.2,-0.2,0.4,0.2,,0.6,,7,2,1,4,8,0,5,9,3,6,b_and_c,rational,rational,007
7,,,irrational,left,suspect,f,rational,right,0.3,0.2,0.5,0.2,irrational,0.6000000000000001,0.2,0.8,,0.2,,irrational,10.0,4.0,5.0,6.0,3.0,7.0,1.0,9.0,8.0,2.0,b_and_d,rational,1,b_and_d,b_and_d,0.7,0.2,0.9,0.2,0.4,0.4,,0.8,,0.4,9,0,8,2,1,3,7,4,6,5,a_and_b,-0.6,0.7,0.1,0.8,0.10000000000000003,0.3,,0.4,,0.9,7,3,1,2,6,5,0,8,4,9,b_and_d,0.19999999999999998,0.1,0.3,0.2,irrational,0.6000000000000001,0.2,,0.8,,0.2,rational,8.0,5.0,,6.0,3.0,1.0,7.0,4.0,2.0,9.0,a_and_b,0,0,a_and_b,b_and_c,0.7,0.2,0.9,0.2,-0.2,0.5,0.3,,0.6,,7,8,1,9,0,3,2,4,6,5,b,-0.5,0.9,0.3,0.8,0.19999999999999996,0.5,0.7,,0.7,,6,5,0,1,8,2,3,7,4,9,a_and_c,irrational,irrational,008
8,,,irrational,left,suspect,f,rational,right,0.20000000000000007,0.8,0.9,0.7,irrational,0.09999999999999998,0.5,0.6,,0.8,,irrational,1.0,4.0,8.0,9.0,2.0,5.0,6.0,3.0,10.0,7.0,c_and_d,0,0,c_and_d,a,0.7,0.2,0.9,0.3,0.3,0.3,,0.6,,0.7,9,1,2,5,3,6,8,0,7,4,c,-0.6000000000000001,0.9,0.2,0.8,0.0,0.3,,0.3,,0.9,8,5,6,3,4,0,1,7,2,9,b_and_c,0.20000000000000007,0.7,0.9,0.8,irrational,0.4,0.8,,0.9,,0.5,irrational,2.0,8.0,,5.0,7.0,9.0,4.0,3.0,6.0,1.0,c_and_d,rational,0,c_and_d,d,0.7,0.2,0.9,0.2,-0.2,0.5,0.3,,0.5,,7,8,5,9,1,3,4,2,0,6,c_and_d,-0.4,0.9,0.1,0.5,-0.4,0.5,0.1,,0.8,,6,5,1,2,8,3,4,9,0,7,c_and_d,irrational,irrational,009
9,,,irrational,left,suspect,m,rational,right,0.6000000000000001,0.2,0.8,1.0,rational,0.5,0.1,0.6,,0.9,,rational,10.0,3.0,2.0,9.0,4.0,6.0,7.0,1.0,8.0,5.0,b,0,0,b,c,0.6000000000000001,0.3,0.9,0.3,0.3,0.4,,0.6,,0.3,9,0,8,3,4,1,5,7,2,6,a_and_b,-0.09999999999999998,0.9,0.2,0.3,0.0,0.4,,0.1,,0.1,9,6,3,0,2,5,4,8,1,7,a_and_d,0.4,0.6,1.0,0.8,rational,0.6000000000000001,0.6,,0.9,,0.3,irrational,5.0,1.0,,7.0,3.0,2.0,4.0,6.0,8.0,9.0,a_and_b,irrational,1,a_and_b,a_and_b,0.7,0.2,0.9,0.3,0.09999999999999998,0.5,0.6,,0.6,,2,0,8,5,7,6,4,3,9,1,a_and_b,0.0,0.3,0.3,0.9,0.39999999999999997,0.5,0.6,,0.2,,6,5,2,1,7,4,0,8,3,9,b_and_d,rational,rational,010
10,,,irrational,left,suspect,m,rational,right,-0.2,0.2,0.0,0.6,irrational,0.0,0.0,0.0,,0.6,,rational,2.0,3.0,5.0,7.0,8.0,1.0,9.0,6.0,4.0,10.0,b_and_d,0,0,b_and_d,b_and_c,0.7,0.2,0.9,0.3,0.5,0.4,,0.8,,0.3,9,0,4,1,5,3,6,8,7,2,a_and_b,0.0,0.3,0.3,0.9,-0.10000000000000003,0.4,,0.3,,0.8,8,6,4,0,7,2,1,5,3,9,a_and_d,0.39999999999999997,0.3,0.7,0.5,irrational,0.2,0.3,,0.5,,0.3,irrational,4.0,8.0,,6.0,7.0,9.0,5.0,3.0,2.0,1.0,a_and_b,irrational,0,a_and_b,d,0.6000000000000001,0.3,0.9,0.3,0.10000000000000003,0.3,0.4,,0.3,,5,0,6,8,9,1,4,2,7,3,a_and_b,0.0,0.3,0.3,0.7,-0.09999999999999998,0.3,0.2,,0.3,,7,6,3,0,8,2,1,4,5,9,a_and_d,irrational,irrational,011
11,irrational,irrational,irrational,left,art,m,rational,right,-0.8,1.0,0.1,0.9,rational,0.0,0.3,,0.3,,0.9,irrational,8.0,7.0,,9.0,2.0,1.0,4.0,3.0,5.0,6.0,a_and_b,rational,0,a_and_b,b_and_c,0.6000000000000001,0.3,0.9,0.3,0.3,0.4,0.5,,0.2,,5,0,3,9,2,1,7,8,6,4,a_and_b,-0.2,0.9,0.3,0.5,-0.4,0.5,0.1,,0.5,,6,0,3,1,9,4,5,8,2,7,a_and_b,0.09999999999999998,0.8,0.6,0.5,irrational,0.0,0.8,0.5,,0.5,,rational,6.0,5.0,9.0,2.0,7.0,10.0,4.0,8.0,3.0,1.0,d,0,1,d,d,0.7,0.3,0.9,0.2,0.4,0.4,,0.8,,0.5,7,0,8,1,5,6,9,4,3,2,a_and_b,-0.39999999999999997,0.9,0.3,0.7,-0.19999999999999998,0.3,,0.1,,0.8,8,0,4,3,5,1,2,7,6,9,a_and_b,,,012
12,rational,rational,irrational,left,art,f,rational,right,0.30000000000000004,0.5,0.8,0.5,irrational,0.0,0.8,,0.1,,0.1,rational,2.0,5.0,,4.0,7.0,9.0,3.0,8.0,6.0,1.0,b_and_c,irrational,0,b_and_c,d,0.6000000000000001,0.3,0.9,0.3,0.0,0.5,0.5,,0.6,,8,9,1,7,2,0,3,5,4,6,b_and_c,-0.4,0.9,0.1,0.5,0.0,0.5,0.5,,0.7,,6,5,1,2,8,3,4,9,0,7,c_and_d,0.0,0.1,0.1,0.8,rational,0.0,0.0,0.0,,0.9,,rational,1.0,2.0,3.0,4.0,7.0,5.0,10.0,6.0,9.0,8.0,b_and_d,rational,0,b_and_d,a,0.7,0.2,0.9,0.2,0.6000000000000001,0.3,,0.8,,0.2,9,0,6,3,4,2,7,8,5,1,a_and_b,-0.4,0.5,0.1,0.7,-0.19999999999999998,0.3,,0.1,,0.8,9,3,7,6,4,1,0,2,5,8,b_and_d,,,013
13,rational,rational,irrational,left,art,m,rational,right,0.6000000000000001,0.2,0.8,0.6,irrational,0.5,0.1,,0.6,,0.3,irrational,1.0,8.0,,3.0,6.0,9.0,7.0,4.0,5.0,2.0,b_and_c,rational,0,b_and_c,a,0.7,0.3,0.9,0.2,0.09999999999999998,0.5,0.6,,0.6,,6,0,5,9,8,1,2,7,3,4,a_and_b,-0.4,0.5,0.1,0.9,-0.30000000000000004,0.4,0.1,,0.8,,7,3,2,5,8,0,4,6,1,9,b_and_c,0.0,0.5,0.5,0.5,rational,0.19999999999999996,0.4,0.6,,0.8,,irrational,3.0,2.0,10.0,5.0,1.0,7.0,4.0,9.0,8.0,6.0,c_and_d,0,0,c_and_d,b,0.7,0.2,0.9,0.3,0.6000000000000001,0.4,,0.9,,0.3,8,0,1,5,4,3,9,6,7,2,a_and_b,-0.4,0.5,0.1,0.9,-0.30000000000000004,0.4,,0.1,,0.8,9,1,4,5,3,7,0,2,6,8,b_and_d,,,014
14,irrational,irrational,irrational,left,art,f,rational,right,0.30000000000000004,0.5,0.8,0.5,irrational,0.6000000000000001,0.3,,0.8,,0.2,rational,2.0,5.0,,3.0,7.0,9.0,4.0,6.0,8.0,1.0,b_and_c,0,0,b_and_c,d,0.7,0.2,0.9,0.2,-0.2,0.5,0.3,,0.6,,8,2,0,9,1,3,6,7,5,4,a_and_c,-0.5,0.8,0.3,0.9,0.19999999999999996,0.5,0.7,,0.8,,6,3,0,1,8,2,4,7,5,9,a_and_c,0.19999999999999996,0.5,0.7,0.5,irrational,-0.19999999999999996,0.7,0.5,,0.8,,rational,3.0,2.0,7.0,4.0,1.0,8.0,5.0,10.0,9.0,6.0,c_and_d,0,0,c_and_d,b,0.6000000000000001,0.2,0.8,0.3,0.6000000000000001,0.4,,0.9,,0.3,9,0,4,2,6,3,5,8,7,1,a_and_b,-0.1,0.2,0.1,0.7,-0.30000000000000004,0.4,,0.1,,0.8,8,5,6,1,7,3,0,4,2,9,b_and_d,,,015
15,irrational,irrational,irrational,left,art,m,rational,right,0.7,0.0,0.7,0.3,rational,0.5,0.1,,0.6,,0.3,irrational,2.0,6.0,,5.0,7.0,9.0,8.0,3.0,4.0,1.0,b_and_c,irrational,0,b_and_c,d,0.7,0.2,0.9,0.2,0.49999999999999994,0.3,0.7,,0.2,,3,2,6,9,8,0,5,7,4,1,b_and_c,-0.4,0.9,0.1,0.5,-0.30000000000000004,0.4,0.1,,0.6,,6,8,4,0,5,1,3,9,2,7,a_and_d,0.30000000000000004,0.1,0.4,0.5,irrational,0.6,0.1,0.7,,0.2,,rational,1.0,2.0,3.0,4.0,8.0,6.0,10.0,7.0,5.0,9.0,b_and_d,rational,0,b_and_d,a,0.7,0.2,0.9,0.3,0.6000000000000001,0.4,,0.9,,0.3,9,0,4,5,6,1,3,7,8,2,a_and_b,-0.19999999999999996,0.7,0.5,0.9,-0.09999999999999998,0.3,,0.2,,0.9,7,3,5,1,6,2,0,8,4,9,b_and_d,,,016
16,rational,rational,irrational,left,art,m,rational,right,0.0,1.0,0.0,0.0,irrational,0.09999999999999998,0.2,,0.3,,0.9,irrational,7.0,9.0,,1.0,6.0,8.0,2.0,4.0,3.0,5.0,c_and_d,rational,0,c_and_d,a_and_d,0.6000000000000001,0.3,0.9,0.3,0.2,0.3,0.5,,0.3,,7,0,5,8,9,2,4,1,6,3,a_and_b,-0.19999999999999998,0.9,0.1,0.3,0.19999999999999996,0.4,0.6,,0.7,,6,7,2,4,8,1,3,9,0,5,c_and_d,0.3,0.2,0.5,0.4,rational,0.09999999999999998,0.2,0.3,,0.4,,rational,7.0,9.0,10.0,8.0,3.0,5.0,1.0,4.0,6.0,2.0,b_and_d,0,1,b_and_d,b_and_d,0.6000000000000001,0.3,0.9,0.3,0.3,0.4,,0.6,,0.3,8,1,2,5,3,4,7,6,9,0,d,-0.4,0.5,0.1,0.7,0.0,0.4,,0.4,,0.8,8,4,5,0,7,1,2,6,3,9,a_and_d,,,017
17,rational,rational,irrational,left,art,m,rational,right,0.19999999999999998,0.1,0.3,0.7,irrational,-0.3,0.6,,0.3,,0.6,irrational,1.0,6.0,,3.0,5.0,9.0,7.0,4.0,8.0,2.0,b_and_c,rational,0,b_and_c,a,0.7,0.2,0.9,0.2,0.49999999999999994,0.4,0.7,,0.2,,4,0,8,9,3,1,6,7,5,2,a_and_b,-0.2,0.5,0.3,0.9,-0.19999999999999998,0.3,0.1,,0.3,,7,2,3,4,8,0,1,5,6,9,b_and_c,0.2,0.2,0.4,0.6,rational,0.1,0.1,0.2,,0.7,,rational,2.0,1.0,3.0,4.0,6.0,5.0,7.0,9.0,8.0,10.0,d,0,0,d,a_and_b,0.7,0.2,0.9,0.2,0.5,0.3,,0.8,,0.5,8,0,3,6,7,1,9,4,5,2,a_and_b,-0.7000000000000001,0.9,0.1,0.8,-0.30000000000000004,0.4,,0.1,,0.9,7,2,6,5,3,4,0,8,1,9,b_and_d,,,018
18,,,rational,left,suspect,m,irrational,right,0.10000000000000003,0.3,0.4,0.3,rational,-0.09999999999999998,0.3,0.2,,0.9,,rational,5.0,3.0,1.0,7.0,4.0,8.0,9.0,2.0,6.0,10.0,b_and_c,rational,0,b_and_c,a_and_c,0.7,0.2,0.9,0.3,0.7,0.3,,0.9,,0.2,9,0,7,3,6,4,5,1,8,2,a_and_b,-0.49999999999999994,0.9,0.2,0.7,-0.09999999999999998,0.3,,0.2,,0.9,9,3,6,4,5,0,1,7,2,8,b_and_c,1.0,0.0,1.0,0.0,irrational,0.0,0.0,,0.0,,1.0,irrational,9.0,7.0,,8.0,5.0,3.0,4.0,1.0,2.0,6.0,a_and_b,irrational,0,a_and_b,c,0.7,0.2,0.9,0.2,-0.2,0.5,0.3,,0.6,,5,0,8,9,1,2,4,7,6,3,a_and_b,-0.6,0.8,0.1,0.7,-0.2,0.4,0.2,,0.5,,6,1,5,3,9,2,0,7,4,8,b_and_d,irrational,irrational,019
19,,,rational,left,suspect,f,irrational,right,0.3,0.3,0.6,0.3,irrational,0.19999999999999996,0.5,0.7,,0.5,,rational,6.0,9.0,10.0,4.0,5.0,8.0,7.0,1.0,3.0,2.0,c,0,1,c,c,0.7,0.2,0.9,0.2,0.5,0.3,,0.8,,0.5,8,0,5,4,1,6,9,3,7,2,a_and_b,-0.8,0.9,0.1,0.9,-0.19999999999999998,0.3,,0.1,,0.8,7,2,3,4,6,5,0,9,1,8,b_and_d,0.2,0.3,0.5,0.9,irrational,0.39999999999999997,0.2,,0.6,,0.7,irrational,8.0,4.0,,7.0,2.0,1.0,5.0,3.0,6.0,9.0,b_and_c,0,1,b_and_c,b_and_c,0.7,0.2,0.9,0.2,0.3,0.3,0.5,,0.2,,4,0,7,9,8,3,5,1,6,2,a_and_b,-0.39999999999999997,0.7,0.3,0.7,-0.10000000000000003,0.4,0.3,,0.8,,8,2,3,5,9,1,4,6,0,7,c_and_d,irrational,irrational,020
20,,,rational,left,suspect,m,irrational,right,0.4,0.8,0.8,0.4,irrational,0.09999999999999998,0.8,0.9,,0.8,,rational,4.0,6.0,7.0,8.0,5.0,3.0,2.0,1.0,10.0,9.0,c_and_d,0,0,c_and_d,c,0.7,0.2,0.9,0.2,0.3,0.5,,0.6,,0.3,9,0,6,3,5,8,7,2,4,1,a_and_b,-0.7000000000000001,0.9,0.1,0.8,-0.30000000000000004,0.4,,0.1,,0.6,8,5,1,4,6,2,0,9,3,7,b_and_d,0.2,0.3,0.5,0.9,rational,0.10000000000000003,0.4,,0.4,,0.3,rational,2.0,8.0,,5.0,3.0,9.0,6.0,4.0,7.0,1.0,b_and_c,rational,0,b_and_c,d,0.7,0.3,0.9,0.2,0.0,0.5,0.5,,0.6,,4,0,5,7,9,3,1,6,8,2,a_and_b,-0.19999999999999998,0.9,0.1,0.3,0.09999999999999998,0.4,0.5,,0.7,,8,3,5,1,6,0,4,9,2,7,b_and_c,rational,rational,021
21,,,rational,left,suspect,f,irrational,right,-0.2,0.7,0.3,0.5,irrational,0.1,0.1,0.2,,0.7,,irrational,1.0,3.0,4.0,6.0,2.0,7.0,5.0,8.0,10.0,9.0,c_and_d,0,0,c_and_d,a,0.7,0.3,0.9,0.2,0.4,0.4,,0.8,,0.5,8,0,7,2,4,5,9,1,6,3,a_and_b,-0.19999999999999998,0.3,0.1,0.8,-0.30000000000000004,0.4,,0.1,,0.9,8,5,2,6,4,0,1,7,3,9,b_and_c,0.39999999999999997,0.2,0.6,0.5,rational,0.4,0.7,,0.5,,0.1,irrational,3.0,4.0,,1.0,7.0,9.0,6.0,8.0,5.0,2.0,b_and_c,irrational,0,b_and_c,a_and_d,0.7,0.2,0.9,0.3,0.19999999999999996,0.5,0.7,,0.6,,7,1,3,9,2,0,8,5,4,6,b_and_c,-0.8,0.9,0.1,0.9,0.0,0.4,0.4,,0.5,,6,0,2,4,8,3,5,7,1,9,a_and_b,rational,rational,022
22,,,rational,left,suspect,f,irrational,right,0.3,0.9,0.5,0.2,rational,0.30000000000000004,0.5,0.8,,0.7,,rational,3.5,5.5,3.5,9.0,5.5,1.5,10.0,1.5,7.5,7.5,d,0,0,d,c,0.7,0.3,0.9,0.2,0.29999999999999993,0.4,,0.7,,0.5,8,1,5,4,2,7,6,0,3,9,c,-0.7000000000000001,0.9,0.1,0.8,-0.19999999999999998,0.3,,0.1,,0.9,8,3,4,5,6,0,1,7,2,9,b_and_c,0.5,0.4,0.9,0.7,irrational,0.19999999999999996,0.8,,0.6,,0.4,irrational,3.5,7.5,,1.5,7.5,9.0,5.5,5.5,3.5,1.5,b_and_c,0,0,b_and_c,d,0.6000000000000001,0.3,0.9,0.3,0.2,0.3,0.4,,0.2,,3,0,6,8,9,1,4,7,5,2,a_and_b,-0.6,0.9,0.1,0.7,-0.2,0.4,0.2,,0.7,,7,0,4,3,9,1,2,6,5,8,a_and_b,irrational,irrational,023
